song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Slow Down,Selena Gomez,0.717,0.835,1.0,-3.823,0.0,0.176,0.0748,0.0,0.629,0.656,127.923,210293.0,4.0,spotify:track:3KC5FFplKpLMBCppRmGVpD,3KC5FFplKpLMBCppRmGVpD,2
Burn,Ellie Goulding,0.309,0.775,1.0,-4.915,1.0,0.0546,0.258,0.0,0.102,0.279,84.731,231212.0,4.0,spotify:track:6B8CAgQ38mWf7xTvFtC0BB,6B8CAgQ38mWf7xTvFtC0BB,0
Wicked Wonderland,Tungevaag,0.699,0.812,6.0,-5.772,0.0,0.135,0.00461,0.0161,0.397,0.749,127.916,217270.0,4.0,spotify:track:0zQXwzM2gtGfClqBBTsKXp,0zQXwzM2gtGfClqBBTsKXp,2
Until The End - Monday 2 Friday Radio Edit,Master Blaster,0.534,0.991,8.0,-4.594,1.0,0.0462,0.00352,0.545,0.86,0.734,141.973,206703.0,4.0,spotify:track:2bzue3UgOCyitcV2z1bOLO,2bzue3UgOCyitcV2z1bOLO,8
Juomalaulu,Spekti,0.733,0.913,9.0,-3.981,0.0,0.22,0.0111,0.0,0.0501,0.641,105.016,214973.0,4.0,spotify:track:1L76HxtZkpUx00RiNJ5UCf,1L76HxtZkpUx00RiNJ5UCf,1
Cream - Radio Edit,Tujamo,0.703,0.997,5.0,-2.48,1.0,0.0442,0.0132,0.769,0.0775,0.49,127.991,151875.0,4.0,spotify:track:2uUHq7i2gWA162KAoLPWZD,2uUHq7i2gWA162KAoLPWZD,8
I Found Your Heart,DubVision,0.636,0.821,2.0,-3.654,1.0,0.0906,0.221,1.82e-05,0.0972,0.401,127.076,204094.0,4.0,spotify:track:3wDdU9Cu6o5jv4PQT1NKab,3wDdU9Cu6o5jv4PQT1NKab,0
Pegasus,Protoculture,0.464,0.98,10.0,-6.399,0.0,0.0444,0.00185,0.954,0.23,0.46,128.0,164000.0,4.0,spotify:track:3Se7l1755cRnZjHXTL2B3k,3Se7l1755cRnZjHXTL2B3k,5
Unicorn Zombie Apocalypse - Original Mix,Borgore,0.677,0.885,1.0,-2.946,1.0,0.0658,0.00425,0.861,0.052,0.186,128.037,277500.0,4.0,spotify:track:0AC357XM98E9iRQ67MhVzi,0AC357XM98E9iRQ67MhVzi,8
Wildfire - Radio Edit,Borgeous,0.547,0.746,6.0,-4.457,0.0,0.0406,0.0111,0.000249,0.0587,0.111,127.988,225117.0,4.0,spotify:track:4dSUq6XjY2Z7X3IdyR0Aig,4dSUq6XjY2Z7X3IdyR0Aig,6
Welcome to the Dancefloor - Video Edit,ItaloBrothers,0.563,0.963,6.0,-3.55,0.0,0.0403,0.00154,0.0,0.0735,0.492,127.934,171998.0,4.0,spotify:track:5qkp3AIXXqW4QXqASwhqKc,5qkp3AIXXqW4QXqASwhqKc,6
Stamp on the Ground - Radio Edit,ItaloBrothers,0.635,0.828,11.0,-7.575,0.0,0.0592,0.204,0.00924,0.116,0.276,149.953,198987.0,4.0,spotify:track:09ISyLOPeuno7kKlzdbZuq,09ISyLOPeuno7kKlzdbZuq,1
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0.673,0.79,7.0,-4.663,0.0,0.0893,0.037,9.95e-06,0.0875,0.705,102.013,199227.0,4.0,spotify:track:7vfWgVGiLgnGbInU5lvSQg,7vfWgVGiLgnGbInU5lvSQg,1
Hanat Auki,Lord Est,0.912,0.806,7.0,-2.769,1.0,0.0468,0.194,0.0,0.14,0.96,114.006,203293.0,4.0,spotify:track:4VtLvRU5wGjGsFy04eVvZs,4VtLvRU5wGjGsFy04eVvZs,11
Madafakin darra (feat. Ida Paul),Roope Salminen & Koirat,0.659,0.893,11.0,-4.688,0.0,0.174,0.00199,0.0,0.021,0.92,159.964,184013.0,4.0,spotify:track:3lMptolbiExnExS1Xh3e5m,3lMptolbiExnExS1Xh3e5m,1
Macho Fantastico,Spekti,0.723,0.818,11.0,-4.588,0.0,0.0705,0.0802,0.0,0.0727,0.58,95.004,201520.0,4.0,spotify:track:3JEjxSwF7TQOIER3n9WfNZ,3JEjxSwF7TQOIER3n9WfNZ,1
I'm an Albatraoz,AronChupa,0.883,0.817,0.0,-5.414,1.0,0.235,0.601,0.00449,0.11,0.595,128.078,166849.0,4.0,spotify:track:5MhsZlmKJG6X5kTHkdwC4B,5MhsZlmKJG6X5kTHkdwC4B,9
Bad (feat. Vassy) - Radio Edit,David Guetta,0.614,0.972,5.0,-3.927,0.0,0.088,0.00125,0.0186,0.328,0.411,127.966,170625.0,4.0,spotify:track:1Nivqu7wynKsgguBmgC6Vw,1Nivqu7wynKsgguBmgC6Vw,6
Wasted,Tiësto,0.645,0.832,2.0,-5.595,1.0,0.0294,0.00106,0.00264,0.199,0.375,112.028,188371.0,4.0,spotify:track:1EavLSmwRWtmkKEmlCfFzT,1EavLSmwRWtmkKEmlCfFzT,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,0.616,0.869,0.0,-3.911,1.0,0.0327,0.0283,0.0,0.064,0.473,127.966,234560.0,4.0,spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y,6ebkx7Q5tTxrCxKq4GYj0Y,0
Rahaa palaa feat. Uniikki,Kristal,0.825,0.548,5.0,-6.091,0.0,0.0789,0.187,0.0,0.0692,0.47,110.049,203455.0,4.0,spotify:track:3UB6bgxx6WGrOws9szkOvm,3UB6bgxx6WGrOws9szkOvm,6
Levels - Radio Edit,Avicii,0.62,0.881,1.0,-5.851,0.0,0.0372,0.0585,0.714,0.311,0.415,126.035,199904.0,4.0,spotify:track:0JhKJg5ejeQ8jq89UQtnw8,0JhKJg5ejeQ8jq89UQtnw8,5
This Is Nightlife - Video Edit,ItaloBrothers,0.642,0.784,11.0,-5.286,0.0,0.032,0.0271,3.03e-05,0.308,0.877,128.004,162000.0,4.0,spotify:track:3CYRGJPi6FbmO10aUX77am,3CYRGJPi6FbmO10aUX77am,1
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.715,0.655,0.0,-6.425,1.0,0.137,0.0525,0.0,0.115,0.531,95.078,207333.0,4.0,spotify:track:5HQVUIKwCEXpe7JIHyY734,5HQVUIKwCEXpe7JIHyY734,9
How We Party,R3HAB,0.652,0.99,11.0,-1.887,1.0,0.111,0.000744,0.328,0.0626,0.207,127.971,211875.0,4.0,spotify:track:0Zv45bSIvDc1d8iJlJvwc3,0Zv45bSIvDc1d8iJlJvwc3,3
Party All Night (Sleep All Day),Sean Kingston,0.581,0.844,0.0,-5.528,0.0,0.0715,0.000613,0.0,0.529,0.789,123.992,222560.0,4.0,spotify:track:5FjzVHBoUtVHxKl6NmnEoe,5FjzVHBoUtVHxKl6NmnEoe,2
Nallipyssy (Weekend Festival 2014 Anthem),Heavyweight,0.37,0.957,9.0,-3.99,1.0,0.131,0.00108,0.00019,0.141,0.0589,96.003,180307.0,3.0,spotify:track:3XniWn1cw3qIMgmVtOJj3l,3XniWn1cw3qIMgmVtOJj3l,3
Holiday (feat. Akon) - DJ Antoine vs Mad Mark 2k15 Radio Edit,DJ Antoine,0.77,0.823,1.0,-3.713,1.0,0.038,0.224,2.71e-05,0.0912,0.58,125.975,211746.0,4.0,spotify:track:6OKdqdFkQzSPzQxPAZW0IV,6OKdqdFkQzSPzQxPAZW0IV,9
Happy Little Pill,Troye Sivan,0.567,0.593,4.0,-7.127,0.0,0.0375,0.000848,2.09e-06,0.114,0.0398,91.703,224874.0,4.0,spotify:track:1oszxWJ3DiAICVbcjhOLF9,1oszxWJ3DiAICVbcjhOLF9,6
Controlla,Drake,0.607,0.476,10.0,-11.076,0.0,0.249,0.0773,0.0,0.113,0.347,122.976,245227.0,5.0,spotify:track:6F609ICg9Spjrw1epsAnpa,6F609ICg9Spjrw1epsAnpa,1
I Need A Doctor,Dr. Dre,0.594,0.946,3.0,-4.521,1.0,0.452,0.0869,0.0,0.306,0.397,155.826,283733.0,4.0,spotify:track:70ATm56tH7OrQ1zurYssz0,70ATm56tH7OrQ1zurYssz0,0
Say Something,A Great Big World,0.453,0.146,2.0,-8.976,1.0,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,229400.0,3.0,spotify:track:78TKtlSLWK8pZAKKW3MyQL,78TKtlSLWK8pZAKKW3MyQL,4
On The Floor - Radio Edit,Jennifer Lopez,0.765,0.68,11.0,-6.306,1.0,0.0932,0.0953,0.0009,0.138,0.462,129.998,230907.0,4.0,spotify:track:7Hv89f7Dpm5Hce1XkBbjQZ,7Hv89f7Dpm5Hce1XkBbjQZ,3
Boom Boom Pow,Black Eyed Peas,0.867,0.857,9.0,-5.892,1.0,0.0663,0.13,0.00171,0.13,0.402,130.048,251440.0,4.0,spotify:track:3oDFtOhcN08qeDPAK6MEQG,3oDFtOhcN08qeDPAK6MEQG,3
Drive By,Train,0.759,0.849,1.0,-3.198,0.0,0.0317,0.000983,1.51e-05,0.0864,0.73,122.033,196627.0,4.0,spotify:track:1wAXODAAL6hY64ZdhrnjBO,1wAXODAAL6hY64ZdhrnjBO,2
Temperature,Sean Paul,0.951,0.597,0.0,-4.651,0.0,0.0669,0.104,0.0,0.0718,0.819,125.024,216467.0,4.0,spotify:track:0j4wZ17xz0Xv4lIFvtZI48,0j4wZ17xz0Xv4lIFvtZI48,2
SOS,Rihanna,0.677,0.671,7.0,-4.905,1.0,0.0361,0.004,5.07e-05,0.413,0.527,137.046,238920.0,4.0,spotify:track:4S5b3wwIXpVNvY2jeIQdKu,4S5b3wwIXpVNvY2jeIQdKu,11
U + Ur Hand,P!nk,0.709,0.891,0.0,-3.688,1.0,0.0528,0.00144,0.0,0.034,0.886,141.04,214387.0,4.0,spotify:track:7klL6qvAu4ZzthaUzLvtIN,7klL6qvAu4ZzthaUzLvtIN,9
Sober,P!nk,0.611,0.798,6.0,-4.907,1.0,0.0306,0.0696,0.0,0.182,0.408,90.928,251533.0,4.0,spotify:track:3jFkJtiHuePvEJ8dL5EdHN,3jFkJtiHuePvEJ8dL5EdHN,3
Say It Right - Main,Nelly Furtado,0.868,0.871,1.0,-6.179,1.0,0.136,0.0478,0.000633,0.0481,0.838,116.944,223520.0,4.0,spotify:track:5LwPqhWijLpG9VWKtNqaJI,5LwPqhWijLpG9VWKtNqaJI,9
Maneater,Nelly Furtado,0.796,0.777,6.0,-4.81,1.0,0.0397,0.0261,0.000358,0.121,0.787,132.722,258893.0,4.0,spotify:track:4wH4dJgrsxONID6KS2tDQM,4wH4dJgrsxONID6KS2tDQM,11
All Good Things (Come To An End),Nelly Furtado,0.661,0.649,9.0,-7.668,0.0,0.0342,0.245,1.22e-05,0.11,0.388,100.893,311187.0,4.0,spotify:track:6kEpjptnAwt11Atr4cEMe1,6kEpjptnAwt11Atr4cEMe1,1
4 Minutes (feat. Justin Timberlake and Timbaland),Madonna,0.705,0.911,2.0,-4.873,1.0,0.0717,0.00592,0.00154,0.0603,0.803,113.032,245080.0,4.0,spotify:track:1dDNz8h95Gsu0W4QdxVVln,1dDNz8h95Gsu0W4QdxVVln,9
So Yesterday,Hilary Duff,0.552,0.803,0.0,-3.81,1.0,0.0611,0.234,0.0,0.308,0.784,78.196,216373.0,4.0,spotify:track:2WKyaIrR5qhg2f8bGPcHk2,2WKyaIrR5qhg2f8bGPcHk2,9
The Sweet Escape,Gwen Stefani,0.753,0.771,1.0,-3.522,1.0,0.0339,0.198,0.0,0.189,0.711,119.97,246867.0,4.0,spotify:track:6fvZwoOMEMy2LBbLtdznHE,6fvZwoOMEMy2LBbLtdznHE,9
Candy Shop,50 Cent,0.581,0.569,7.0,-7.978,1.0,0.43,0.0248,4.94e-05,0.373,0.726,97.927,208655.0,4.0,spotify:track:6pEROStfGkIV1sOAeWkUid,6pEROStfGkIV1sOAeWkUid,11
Whataya Want from Me,Adam Lambert,0.44,0.683,11.0,-4.732,0.0,0.0489,0.00706,0.0,0.0593,0.445,185.948,227320.0,4.0,spotify:track:2rDwdvBma1O1eLzo29p2cr,2rDwdvBma1O1eLzo29p2cr,1
For Your Entertainment,Adam Lambert,0.654,0.872,1.0,-3.824,1.0,0.11,0.0411,0.0,0.0808,0.612,130.023,215160.0,4.0,spotify:track:0BmT0BVnYYggf7V4NCtx2B,0BmT0BVnYYggf7V4NCtx2B,9
Like a Prayer,Madonna,0.624,0.842,5.0,-5.285,1.0,0.0376,0.264,2.11e-05,0.181,0.257,111.037,342680.0,4.0,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,1z3ugFmUKoCzGsI6jdY4Ci,3
Celebration,Madonna,0.637,0.891,11.0,-4.139,0.0,0.0345,0.0742,0.000622,0.0686,0.933,126.002,215133.0,4.0,spotify:track:5HktkLHDbjA6LTyRTBEzHy,5HktkLHDbjA6LTyRTBEzHy,1
The Way I Are,Timbaland,0.73,0.807,3.0,-6.475,0.0,0.114,0.179,0.718,0.28,0.727,114.715,179280.0,4.0,spotify:track:5J7iGuzi7Nj8SGvt0TAVzK,5J7iGuzi7Nj8SGvt0TAVzK,5
Bad Romance,Lady Gaga,0.694,0.924,0.0,-3.764,1.0,0.0405,0.00309,3.89e-05,0.121,0.72,118.988,294467.0,4.0,spotify:track:34dAuFhftSbjLWksf8c73i,34dAuFhftSbjLWksf8c73i,9
The Monster,Eminem,0.785,0.859,9.0,-3.673,1.0,0.0775,0.0547,0.0,0.0631,0.603,110.012,250907.0,4.0,spotify:track:6ilfuI7O1vUfKf4TQ9fJRb,6ilfuI7O1vUfKf4TQ9fJRb,11
Scream & Shout,will.i.am,0.79,0.616,0.0,-7.443,1.0,0.0596,0.0589,6.55e-05,0.171,0.473,130.009,284413.0,4.0,spotify:track:7n6ibfsRHhCb1Ccl9Fg2CZ,7n6ibfsRHhCb1Ccl9Fg2CZ,0
Do What U Want,Lady Gaga,0.785,0.815,9.0,-4.374,1.0,0.0653,0.309,7.25e-06,0.0999,0.556,97.529,227316.0,4.0,spotify:track:1zLwQOUVCzWgiIhSfUarKI,1zLwQOUVCzWgiIhSfUarKI,11
Euphoria - Single Version,Loreen,0.562,0.783,11.0,-4.727,0.0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,181787.0,4.0,spotify:track:1xN7BpTAWnZkuSLOtRP6Qc,1xN7BpTAWnZkuSLOtRP6Qc,1
Glad You Came,The Wanted,0.698,0.844,7.0,-4.549,0.0,0.067,0.0577,1.69e-05,0.105,0.446,126.937,198467.0,4.0,spotify:track:1OXfWI3FQMdsKKC6lkvzSx,1OXfWI3FQMdsKKC6lkvzSx,1
Yee - Original Mix,Deorro,0.732,0.989,5.0,-4.172,0.0,0.0483,0.102,0.748,0.0551,0.684,127.984,210000.0,4.0,spotify:track:629LSgJ5RByv34caJVVBuq,629LSgJ5RByv34caJVVBuq,5
The Bell - Radio Mix,Dirty Disco Youth,0.612,0.974,7.0,-2.851,0.0,0.0412,2.21e-05,0.948,0.372,0.278,128.011,200625.0,4.0,spotify:track:1HYZBBHMaqgaOYDcw7Ifpj,1HYZBBHMaqgaOYDcw7Ifpj,5
Boneless,Steve Aoki,0.743,0.962,11.0,-3.205,0.0,0.0629,0.00445,0.613,0.352,0.643,127.99,270000.0,4.0,spotify:track:4qPnE8jBZN3wmgGxspsOcP,4qPnE8jBZN3wmgGxspsOcP,5
Call Me A Spaceman - Radio Edit,Hardwell,0.581,0.877,3.0,-3.595,0.0,0.0486,0.0172,0.0,0.248,0.35,127.952,189375.0,4.0,spotify:track:1UPyhGntpIx9jGJ5UVtKVS,1UPyhGntpIx9jGJ5UVtKVS,6
Lights - Single Version,Ellie Goulding,0.683,0.789,8.0,-6.132,0.0,0.0353,0.0283,0.0492,0.112,0.809,120.013,211800.0,4.0,spotify:track:7gUpO6td4OOnu0Lf9vhcIV,7gUpO6td4OOnu0Lf9vhcIV,1
Work Bitch,Britney Spears,0.629,0.824,9.0,-6.53,1.0,0.159,0.155,0.000628,0.0651,0.852,128.01,247960.0,4.0,spotify:track:3KliPMvk1EvFZu9cvkj8p1,3KliPMvk1EvFZu9cvkj8p1,11
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,0.347,0.772,5.0,-4.359,0.0,0.0549,0.0597,0.0333,0.115,0.035,192.118,191412.0,3.0,spotify:track:7qfwcqfGOkQYtzjF4UzJHM,7qfwcqfGOkQYtzjF4UzJHM,6
Beautiful Day,U2,0.536,0.928,11.0,-6.492,0.0,0.0589,0.0154,0.00134,0.2,0.389,136.258,248400.0,4.0,spotify:track:0gzqZ9d1jIKo9psEIthwXe,0gzqZ9d1jIKo9psEIthwXe,1
Pakastin,Mäkki,0.886,0.74,7.0,-5.745,0.0,0.223,0.17,0.0,0.229,0.81,126.029,204288.0,4.0,spotify:track:3LflHr5D44uAW9wppQ7Dnw,3LflHr5D44uAW9wppQ7Dnw,1
Desibelii (feat. Sharon),ILARI,0.813,0.818,10.0,-3.932,0.0,0.0671,0.0541,0.0,0.349,0.489,110.019,217018.0,4.0,spotify:track:4sojrNZzfhcZ6rB33kJ8pN,4sojrNZzfhcZ6rB33kJ8pN,1
Bae,Heikki Kuula,0.849,0.903,0.0,-2.946,1.0,0.0666,0.185,0.0,0.0825,0.915,120.031,190192.0,4.0,spotify:track:0b2mU9wEUI8MmOVFNK3IVQ,0b2mU9wEUI8MmOVFNK3IVQ,9
Do You Wanna Fuck,Byz,0.776,0.677,2.0,-5.342,0.0,0.0567,0.153,0.0,0.0842,0.75,93.011,231093.0,4.0,spotify:track:00eArGDfSh7qPGTy4Vtyo8,00eArGDfSh7qPGTy4Vtyo8,2
Mahtuuko kyytiin?,Gasellit,0.708,0.651,5.0,-5.161,1.0,0.135,0.0639,3.24e-05,0.175,0.848,151.959,226893.0,4.0,spotify:track:3YtuyguojdSAOvEqbnoxaf,3YtuyguojdSAOvEqbnoxaf,11
Isol kirkol,TIPPA,0.733,0.648,5.0,-5.78,0.0,0.0941,0.00222,0.0,0.211,0.761,143.025,182796.0,4.0,spotify:track:4ZI4YGIBPwburXxUgGZiP5,4ZI4YGIBPwburXxUgGZiP5,2
Can't Feel My Face - Martin Garrix Remix,The Weeknd,0.607,0.707,9.0,-5.509,0.0,0.106,0.00842,1.71e-05,0.348,0.117,128.014,252933.0,4.0,spotify:track:1DZ9n7K1LZW8bWBZqGJUfN,1DZ9n7K1LZW8bWBZqGJUfN,1
Divine Sorrow,Wyclef Jean,0.546,0.606,0.0,-4.158,1.0,0.041,0.0255,0.0,0.1,0.413,129.996,278715.0,4.0,spotify:track:007lsEHi6fP9LoYB7czYUa,007lsEHi6fP9LoYB7czYUa,0
We Are Forever - feat. Jonny Rose,Jeremy Folderol,0.398,0.878,0.0,-4.732,0.0,0.0732,0.00085,4.87e-06,0.719,0.141,129.901,201093.0,4.0,spotify:track:2dX2SKn8M1ybhWBddKi9lc,2dX2SKn8M1ybhWBddKi9lc,6
Apollo - Radio Edit,Hardwell,0.56,0.742,9.0,-6.122,1.0,0.0666,0.015,0.0134,0.639,0.275,128.06,209766.0,4.0,spotify:track:3oMRPbLcdkMVIjnzp7baRB,3oMRPbLcdkMVIjnzp7baRB,3
Faith - Radio Edit,Blasterjaxx,0.671,0.689,2.0,-6.613,1.0,0.044,0.00639,0.00291,0.212,0.641,128.001,183067.0,4.0,spotify:track:7qcoZzfJ7HGOuR6fwTbZND,7qcoZzfJ7HGOuR6fwTbZND,9
Take Me Higher - R3hab Remix,Nytrix,0.671,0.888,2.0,-4.771,1.0,0.0836,0.0336,0.000751,0.0828,0.105,128.01,210000.0,4.0,spotify:track:0X7K6bfRuUM8FNhdecXhy3,0X7K6bfRuUM8FNhdecXhy3,0
Famous,Kanye West,0.477,0.749,6.0,-3.662,1.0,0.101,0.0639,0.0,0.115,0.403,173.883,196040.0,4.0,spotify:track:7KOcjfiSuMPsQqLXhD0PlN,7KOcjfiSuMPsQqLXhD0PlN,3
Lionheart (feat. The Royalties STHLM) - Jenaux Radio Edit,Marcus Schössow,0.474,0.896,9.0,-3.671,0.0,0.0476,0.00655,0.0,0.379,0.177,125.998,190516.0,3.0,spotify:track:2pd6hufi7ZJZxKeNyARivR,2pd6hufi7ZJZxKeNyARivR,1
Ah Yeah So What - Radio Edit,Will Sparks,0.678,0.959,0.0,-3.906,1.0,0.157,0.0661,0.652,0.18,0.664,127.978,195000.0,4.0,spotify:track:37PuGmhHTzDbbaUAFKj6bJ,37PuGmhHTzDbbaUAFKj6bJ,8
Angel,DVBBS,0.512,0.85,7.0,-4.956,0.0,0.0329,0.0247,0.0,0.334,0.331,128.031,209652.0,4.0,spotify:track:6C5k3fZmSi2ew9sZtWB8Ax,6C5k3fZmSi2ew9sZtWB8Ax,6
Body Talk (feat. Julian Perretta) - Radio Edit,Dimitri Vegas & Like Mike,0.561,0.922,7.0,-4.748,1.0,0.295,0.00263,1.87e-05,0.506,0.634,127.999,207103.0,4.0,spotify:track:0SZqc82jwXtfomwo11gtVh,0SZqc82jwXtfomwo11gtVh,11
Bonfire,Knife Party,0.536,0.944,1.0,-3.029,1.0,0.0867,0.000117,0.00345,0.353,0.589,174.031,272078.0,4.0,spotify:track:0QIYINh2AwmOmdu8CRYvlw,0QIYINh2AwmOmdu8CRYvlw,9
Bouncybob (feat. Justin Mylo & Mesto),Martin Garrix,0.73,0.896,9.0,-7.863,0.0,0.0692,0.000727,0.806,0.13,0.331,128.012,251260.0,4.0,spotify:track:0MyfJah9XRKoF68chrxVmZ,0MyfJah9XRKoF68chrxVmZ,5
Break Through The Silence - Original Mix,Martin Garrix,0.574,0.959,9.0,-5.529,1.0,0.0634,0.00327,0.0235,0.0691,0.206,128.012,283140.0,4.0,spotify:track:2hSltlbnyQtKvfaZ1EjljN,2hSltlbnyQtKvfaZ1EjljN,3
Can't Go Home (feat. Adam Lambert) - Radio Edit,Steve Aoki,0.662,0.797,0.0,-5.209,1.0,0.0951,0.0182,2.26e-05,0.279,0.673,123.947,183577.0,4.0,spotify:track:0QHnxQsdunrlmduVLPQCNy,0QHnxQsdunrlmduVLPQCNy,9
Flashlight - Original Edit,R3HAB,0.671,0.947,10.0,-3.638,1.0,0.046,0.0304,0.632,0.304,0.393,128.03,178253.0,4.0,spotify:track:60HuL4PsomRiWh79KBV7jk,60HuL4PsomRiWh79KBV7jk,8
Helicopter - Original Edit,Martin Garrix,0.601,0.962,3.0,-4.52,1.0,0.0427,0.00984,0.291,0.0977,0.0749,128.055,202507.0,4.0,spotify:track:3m3OwRXheUtBRKmcVNUsFo,3m3OwRXheUtBRKmcVNUsFo,0
Higher Place (feat. Ne-Yo),Dimitri Vegas & Like Mike,0.71,0.614,7.0,-6.253,1.0,0.0743,0.246,4.14e-05,0.151,0.557,124.932,174010.0,4.0,spotify:track:2mviqu3iMdsQjeWSxBk7gf,2mviqu3iMdsQjeWSxBk7gf,11
Letting Go - Radio Version,Da Tweekaz,0.47,0.915,5.0,-3.594,0.0,0.0408,0.0685,5.22e-05,0.2,0.244,149.951,200695.0,4.0,spotify:track:56DwfNdpXlUYshzPZnWJ5V,56DwfNdpXlUYshzPZnWJ5V,6
Xception - Original Mix,Starkillers,0.688,0.943,1.0,-2.87,1.0,0.135,0.00187,0.848,0.0713,0.627,132.001,285455.0,4.0,spotify:track:2W6V1ygPikPHOgI7aTSFVe,2W6V1ygPikPHOgI7aTSFVe,8
Pyramids - Radio Mix,DVBBS,0.602,0.965,10.0,-0.959,1.0,0.074,0.000269,0.00202,0.0859,0.215,128.14,196875.0,4.0,spotify:track:7ipioDTtamvmdNHwQDsOKc,7ipioDTtamvmdNHwQDsOKc,3
This Is Dirty - Original Mix,DVBBS,0.456,0.905,7.0,-1.405,0.0,0.0737,0.000263,0.899,0.0954,0.084,128.078,295781.0,4.0,spotify:track:6FqH28raIkXVlcHDUvlEzA,6FqH28raIkXVlcHDUvlEzA,5
Raveheart - Original Mix,DVBBS,0.5,0.986,10.0,-2.197,1.0,0.322,0.00106,0.000115,0.283,0.24,127.972,210588.0,4.0,spotify:track:0kTC7L9V1nEGk58UjA5uqr,0kTC7L9V1nEGk58UjA5uqr,3
White Clouds - MOGUAI Remix,DVBBS,0.629,0.687,9.0,-5.14,0.0,0.0583,0.00282,3.86e-05,0.136,0.326,126.018,331429.0,4.0,spotify:track:11L5tbYfk6gOOdmOqMjJYo,11L5tbYfk6gOOdmOqMjJYo,1
Voodoo - Original Mix,DVBBS,0.652,0.822,3.0,-4.579,0.0,0.0415,0.00185,0.103,0.0635,0.101,127.996,273833.0,4.0,spotify:track:1CYAEcbhLAluTm47dIFFgZ,1CYAEcbhLAluTm47dIFFgZ,6
We Were Young - Original Mix,DVBBS,0.467,0.901,0.0,-4.397,1.0,0.101,0.00779,0.0254,0.0608,0.0552,127.952,367642.0,4.0,spotify:track:0nr272gODfF2SNA1Q0cuBx,0nr272gODfF2SNA1Q0cuBx,0
Tsunami (Jump) - Radio Edit,DVBBS,0.699,0.982,11.0,-1.115,0.0,0.141,0.0417,0.000338,0.0849,0.383,127.958,159493.0,4.0,spotify:track:3jsHAlEfplbszLcDID7BHq,3jsHAlEfplbszLcDID7BHq,1
Raveology - Original Edit,DVBBS,0.648,0.978,9.0,-3.161,1.0,0.0898,0.0087,0.835,0.13,0.582,127.981,180080.0,4.0,spotify:track:4O0xbUIH7R6opCojtWmtl0,4O0xbUIH7R6opCojtWmtl0,8
Moment 4 Life,Nicki Minaj,0.651,0.888,11.0,-3.821,1.0,0.295,0.375,0.0,0.299,0.371,97.946,279307.0,4.0,spotify:track:39XNWKuuBZK0oaV5YmD2dF,39XNWKuuBZK0oaV5YmD2dF,3
Fly,Nicki Minaj,0.651,0.853,10.0,-4.751,1.0,0.0372,0.0146,9.22e-05,0.0971,0.21,119.884,212920.0,4.0,spotify:track:6mjEABpi5cQ5gqFFOkR1Cc,6mjEABpi5cQ5gqFFOkR1Cc,3
Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.798,6.0,-5.092,0.0,0.0432,0.0736,0.0,0.156,0.501,92.943,185352.0,4.0,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,6DNtNfH8hXkqOX1sjqmI7p,6
Break Your Heart,Taio Cruz,0.607,0.934,3.0,-4.217,1.0,0.0314,0.0327,0.0,0.0909,0.568,122.01,201547.0,4.0,spotify:track:7ElF5zxOwYP4qVSWVvse3W,7ElF5zxOwYP4qVSWVvse3W,9
Africa - Radio Version,BACALL,0.77,0.692,9.0,-5.594,1.0,0.0566,0.0127,0.000139,0.115,0.513,105.024,186160.0,4.0,spotify:track:0P7lnn81aNwdv2kYWkCFLK,0P7lnn81aNwdv2kYWkCFLK,11
Spaceships,AREA21,0.441,0.766,6.0,-5.921,0.0,0.0533,0.0181,1.6e-06,0.509,0.52,150.054,169608.0,4.0,spotify:track:7Ktv8bQUjZt0rr16qgB4h2,7Ktv8bQUjZt0rr16qgB4h2,6
Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix,AFROJACK,0.57,0.888,2.0,-3.172,1.0,0.044,0.0335,1.53e-06,0.048,0.211,128.025,278174.0,4.0,spotify:track:3i4SQvUfK8Un3YkraZwkNr,3i4SQvUfK8Un3YkraZwkNr,0
Young Hearts (The Chainsmokers Remix),Strange Talk,0.679,0.838,1.0,-3.068,1.0,0.0722,0.0245,7.8e-05,0.201,0.337,126.945,188976.0,4.0,spotify:track:5Y2ir05xOp9URUlkQuzUcL,5Y2ir05xOp9URUlkQuzUcL,0
Here Tonight,Dash Berlin,0.547,0.753,7.0,-2.371,0.0,0.044,0.141,0.0,0.368,0.345,127.959,203438.0,4.0,spotify:track:4bwzssgMDOz3nfxkpSqTj8,4bwzssgMDOz3nfxkpSqTj8,1
