danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.731,0.624,1.0,-10.522,1.0,0.0731,0.618,0.369,0.116,0.258,111.043,audio_features,5BzMvAMwv8GXZrMILzR0yE,spotify:track:5BzMvAMwv8GXZrMILzR0yE,https://api.spotify.com/v1/tracks/5BzMvAMwv8GXZrMILzR0yE,https://api.spotify.com/v1/audio-analysis/5BzMvAMwv8GXZrMILzR0yE,246755.0,4.0,
0.682,0.582,7.0,-10.336,1.0,0.03,0.722,0.476,0.0797,0.503,108.988,audio_features,3XXLQJEHglT1zeSxSFfD2G,spotify:track:3XXLQJEHglT1zeSxSFfD2G,https://api.spotify.com/v1/tracks/3XXLQJEHglT1zeSxSFfD2G,https://api.spotify.com/v1/audio-analysis/3XXLQJEHglT1zeSxSFfD2G,218240.0,4.0,
0.542,0.785,9.0,-6.577,1.0,0.0407,0.00171,6.68e-05,0.133,0.404,92.016,audio_features,14qFRUnyY8WYLMWxc56qOb,spotify:track:14qFRUnyY8WYLMWxc56qOb,https://api.spotify.com/v1/tracks/14qFRUnyY8WYLMWxc56qOb,https://api.spotify.com/v1/audio-analysis/14qFRUnyY8WYLMWxc56qOb,220034.0,4.0,
0.584,0.65,11.0,-6.481,1.0,0.0427,0.179,0.000283,0.0935,0.491,92.01,audio_features,4eE6vZ2vOrceLq4xgz3VmG,spotify:track:4eE6vZ2vOrceLq4xgz3VmG,https://api.spotify.com/v1/tracks/4eE6vZ2vOrceLq4xgz3VmG,https://api.spotify.com/v1/audio-analysis/4eE6vZ2vOrceLq4xgz3VmG,312653.0,4.0,
0.427,0.823,7.0,-4.997,1.0,0.0466,6e-05,0.000129,0.127,0.311,124.024,audio_features,2WBV0nY9Jkyu9dLqxhrj9B,spotify:track:2WBV0nY9Jkyu9dLqxhrj9B,https://api.spotify.com/v1/tracks/2WBV0nY9Jkyu9dLqxhrj9B,https://api.spotify.com/v1/audio-analysis/2WBV0nY9Jkyu9dLqxhrj9B,235387.0,4.0,
0.583,0.654,7.0,-6.89,1.0,0.0472,0.0572,0.00116,0.133,0.191,90.021,audio_features,4p1pxmqtPtPHqWbOd2RgXu,spotify:track:4p1pxmqtPtPHqWbOd2RgXu,https://api.spotify.com/v1/tracks/4p1pxmqtPtPHqWbOd2RgXu,https://api.spotify.com/v1/audio-analysis/4p1pxmqtPtPHqWbOd2RgXu,260427.0,4.0,
0.671,0.916,6.0,-4.014,0.0,0.0397,0.0282,0.00762,0.24,0.803,126.01,audio_features,0gb1J5UrTpzaU1s3nupgCd,spotify:track:0gb1J5UrTpzaU1s3nupgCd,https://api.spotify.com/v1/tracks/0gb1J5UrTpzaU1s3nupgCd,https://api.spotify.com/v1/audio-analysis/0gb1J5UrTpzaU1s3nupgCd,189127.0,4.0,
0.525,0.773,7.0,-5.623,0.0,0.185,0.00583,6.04e-06,0.229,0.381,119.947,audio_features,6s5smacBOoWoI08Vi6EX5T,spotify:track:6s5smacBOoWoI08Vi6EX5T,https://api.spotify.com/v1/tracks/6s5smacBOoWoI08Vi6EX5T,https://api.spotify.com/v1/audio-analysis/6s5smacBOoWoI08Vi6EX5T,240272.0,4.0,
0.706,0.897,8.0,-2.539,0.0,0.0349,0.012,1.01e-06,0.343,0.626,125.002,audio_features,3T8j0WDSw7G98rNLAe2M2X,spotify:track:3T8j0WDSw7G98rNLAe2M2X,https://api.spotify.com/v1/tracks/3T8j0WDSw7G98rNLAe2M2X,https://api.spotify.com/v1/audio-analysis/3T8j0WDSw7G98rNLAe2M2X,207291.0,4.0,
0.645,0.867,2.0,-4.468,0.0,0.0798,0.246,0.0,0.126,0.44,128.033,audio_features,1CA3nqyTok3Pn9r4BKrzv3,spotify:track:1CA3nqyTok3Pn9r4BKrzv3,https://api.spotify.com/v1/tracks/1CA3nqyTok3Pn9r4BKrzv3,https://api.spotify.com/v1/audio-analysis/1CA3nqyTok3Pn9r4BKrzv3,200630.0,4.0,
0.825,0.752,7.0,-5.859,1.0,0.173,0.00949,0.35,0.399,0.436,128.032,audio_features,0N48TkVa2cFUDhebZJ75zc,spotify:track:0N48TkVa2cFUDhebZJ75zc,https://api.spotify.com/v1/tracks/0N48TkVa2cFUDhebZJ75zc,https://api.spotify.com/v1/audio-analysis/0N48TkVa2cFUDhebZJ75zc,216213.0,4.0,
0.568,0.906,1.0,-2.281,0.0,0.146,0.125,0.0,0.712,0.523,119.975,audio_features,0aMahQepTIKgwFYT7jJTm8,spotify:track:0aMahQepTIKgwFYT7jJTm8,https://api.spotify.com/v1/tracks/0aMahQepTIKgwFYT7jJTm8,https://api.spotify.com/v1/audio-analysis/0aMahQepTIKgwFYT7jJTm8,210077.0,4.0,
0.749,0.745,6.0,-7.367,0.0,0.0479,0.0041,0.395,0.0748,0.347,115.048,audio_features,1LeItUMezKA1HdCHxYICed,spotify:track:1LeItUMezKA1HdCHxYICed,https://api.spotify.com/v1/tracks/1LeItUMezKA1HdCHxYICed,https://api.spotify.com/v1/audio-analysis/1LeItUMezKA1HdCHxYICed,262957.0,4.0,
0.245,0.65,7.0,-2.236,0.0,0.0336,0.1,0.0,0.0747,0.575,181.607,audio_features,6dKWi7apHjn2W7Ojncv4Wu,spotify:track:6dKWi7apHjn2W7Ojncv4Wu,https://api.spotify.com/v1/tracks/6dKWi7apHjn2W7Ojncv4Wu,https://api.spotify.com/v1/audio-analysis/6dKWi7apHjn2W7Ojncv4Wu,199160.0,3.0,
0.728,0.794,1.0,-3.992,1.0,0.0635,0.148,0.0,0.0688,0.523,112.071,audio_features,0BiGd2FNDQ0eh79ZHfp6tS,spotify:track:0BiGd2FNDQ0eh79ZHfp6tS,https://api.spotify.com/v1/tracks/0BiGd2FNDQ0eh79ZHfp6tS,https://api.spotify.com/v1/audio-analysis/0BiGd2FNDQ0eh79ZHfp6tS,194360.0,4.0,
0.7,0.571,6.0,-6.575,0.0,0.0408,0.16,8.77e-05,0.111,0.381,128.046,audio_features,3jpViAo0HZOdT7Flyfne6j,spotify:track:3jpViAo0HZOdT7Flyfne6j,https://api.spotify.com/v1/tracks/3jpViAo0HZOdT7Flyfne6j,https://api.spotify.com/v1/audio-analysis/3jpViAo0HZOdT7Flyfne6j,215625.0,4.0,
0.777,0.564,2.0,-6.967,0.0,0.0315,0.683,0.000252,0.0696,0.465,117.973,audio_features,3vbqb78xzvD3CJl7ZeW83c,spotify:track:3vbqb78xzvD3CJl7ZeW83c,https://api.spotify.com/v1/tracks/3vbqb78xzvD3CJl7ZeW83c,https://api.spotify.com/v1/audio-analysis/3vbqb78xzvD3CJl7ZeW83c,186147.0,4.0,
0.524,0.634,7.0,-9.246,1.0,0.0296,0.464,1.02e-05,0.0827,0.549,156.197,audio_features,45xnCasoCrNoJym3tBbF9S,spotify:track:45xnCasoCrNoJym3tBbF9S,https://api.spotify.com/v1/tracks/45xnCasoCrNoJym3tBbF9S,https://api.spotify.com/v1/audio-analysis/45xnCasoCrNoJym3tBbF9S,203253.0,4.0,
