danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.233,0.235,9,-20.332,1,0.0457,0.911,0.918,0.101,0.0389,132.61,audio_features,6a9zPEoKGFMjRQeQIJ8h83,spotify:track:6a9zPEoKGFMjRQeQIJ8h83,https://api.spotify.com/v1/tracks/6a9zPEoKGFMjRQeQIJ8h83,https://api.spotify.com/v1/audio-analysis/6a9zPEoKGFMjRQeQIJ8h83,751653,4
0.16,0.325,0,-19.263,1,0.0407,0.967,0.907,0.113,0.0835,74.753,audio_features,3zjN54QAmvcJMCiI9xeLEk,spotify:track:3zjN54QAmvcJMCiI9xeLEk,https://api.spotify.com/v1/tracks/3zjN54QAmvcJMCiI9xeLEk,https://api.spotify.com/v1/audio-analysis/3zjN54QAmvcJMCiI9xeLEk,2047150,4
0.0869,0.125,7,-28.086,0,0.039,0.765,0.838,0.121,0.0386,85.411,audio_features,0CkEs6b5zvKwNT0WHguMg3,spotify:track:0CkEs6b5zvKwNT0WHguMg3,https://api.spotify.com/v1/tracks/0CkEs6b5zvKwNT0WHguMg3,https://api.spotify.com/v1/audio-analysis/0CkEs6b5zvKwNT0WHguMg3,1720107,4
0.106,0.236,2,-21.249,1,0.0445,0.882,0.921,0.109,0.0356,72.356,audio_features,74FsBoeYeAcdNHzkAIDt47,spotify:track:74FsBoeYeAcdNHzkAIDt47,https://api.spotify.com/v1/tracks/74FsBoeYeAcdNHzkAIDt47,https://api.spotify.com/v1/audio-analysis/74FsBoeYeAcdNHzkAIDt47,1404906,3
0.37,0.44,7,-10.392,1,0.0293,0.333,0.897,0.0598,0.0614,153.019,audio_features,4kIEH2w2Hg3kU90V0P2yt6,spotify:track:4kIEH2w2Hg3kU90V0P2yt6,https://api.spotify.com/v1/tracks/4kIEH2w2Hg3kU90V0P2yt6,https://api.spotify.com/v1/audio-analysis/4kIEH2w2Hg3kU90V0P2yt6,1050920,3
0.0646,0.0531,5,-31.396,1,0.0397,0.875,0.86,0.0881,0.0389,61.054,audio_features,5aGcszkgFp1DOnxziXZrUw,spotify:track:5aGcszkgFp1DOnxziXZrUw,https://api.spotify.com/v1/tracks/5aGcszkgFp1DOnxziXZrUw,https://api.spotify.com/v1/audio-analysis/5aGcszkgFp1DOnxziXZrUw,1253875,4
0.192,0.34,2,-20.525,1,0.132,0.41,0.292,0.33,0.036,85.66,audio_features,3lbOi2wmfAB0LcgLICNOSP,spotify:track:3lbOi2wmfAB0LcgLICNOSP,https://api.spotify.com/v1/tracks/3lbOi2wmfAB0LcgLICNOSP,https://api.spotify.com/v1/audio-analysis/3lbOi2wmfAB0LcgLICNOSP,2757928,4
0.0675,0.0698,11,-26.87,0,0.0488,0.824,0.909,0.0978,0.0278,73.144,audio_features,6WQO8K2BvCj8kECqIO4bsa,spotify:track:6WQO8K2BvCj8kECqIO4bsa,https://api.spotify.com/v1/tracks/6WQO8K2BvCj8kECqIO4bsa,https://api.spotify.com/v1/audio-analysis/6WQO8K2BvCj8kECqIO4bsa,1080627,4
0.0613,0.00674,7,-36.924,1,0.0454,0.955,0.937,0.265,0.0229,66.399,audio_features,6SrDGaMF5zeQVoujQq4Pap,spotify:track:6SrDGaMF5zeQVoujQq4Pap,https://api.spotify.com/v1/tracks/6SrDGaMF5zeQVoujQq4Pap,https://api.spotify.com/v1/audio-analysis/6SrDGaMF5zeQVoujQq4Pap,3682333,4
0.189,0.181,5,-29.095,0,0.0471,0.947,0.882,0.107,0.0944,73.32,audio_features,7zFv2VmCMIQR2S9bTJ5KEY,spotify:track:7zFv2VmCMIQR2S9bTJ5KEY,https://api.spotify.com/v1/tracks/7zFv2VmCMIQR2S9bTJ5KEY,https://api.spotify.com/v1/audio-analysis/7zFv2VmCMIQR2S9bTJ5KEY,874000,3
0.372,0.118,0,-18.427,1,0.0737,0.984,0.858,0.0719,0.315,176.667,audio_features,50WIWrt5sHs27j97IdhWoh,spotify:track:50WIWrt5sHs27j97IdhWoh,https://api.spotify.com/v1/tracks/50WIWrt5sHs27j97IdhWoh,https://api.spotify.com/v1/audio-analysis/50WIWrt5sHs27j97IdhWoh,1100899,4
0.0992,0.142,10,-26.638,0,0.0413,0.746,0.926,0.371,0.0371,68.868,audio_features,5BEcsUdHuN9aQBqA46iPqP,spotify:track:5BEcsUdHuN9aQBqA46iPqP,https://api.spotify.com/v1/tracks/5BEcsUdHuN9aQBqA46iPqP,https://api.spotify.com/v1/audio-analysis/5BEcsUdHuN9aQBqA46iPqP,1194216,4
0.151,0.00338,0,-35.422,1,0.0434,0.956,0.767,0.12,0.0239,135.349,audio_features,5PJJHXzJuihJJAEry4UUTY,spotify:track:5PJJHXzJuihJJAEry4UUTY,https://api.spotify.com/v1/tracks/5PJJHXzJuihJJAEry4UUTY,https://api.spotify.com/v1/audio-analysis/5PJJHXzJuihJJAEry4UUTY,2139038,3
